Word,Occurrences,Word Count By Book,WF (HP),Lg10WF (HP),CD (HP),Lg10CD (HP),Lg10WF (SUBTLEX),Book of Acquisition (HP)
rat,"{1: [(2, 1), (6, 5)], 2: [(3, 1), (5, 1), (8, 1), (9, 1), (12, 1), (13, 1)], 3: [(1, 1), (4, 11), (7, 2), (12, 1), (13, 2), (16, 4), (17, 8), (18, 2), (19, 13), (21, 4), (22, 1)], 4: [(5, 2), (26, 1)], 5: [(9, 1), (23, 2), (31, 1)]}","{1: 6, 2: 6, 3: 49, 4: 3, 5: 4}",6.078815417663786e-05,-4.216181043703424,0.12121212121212122,-0.9164539485499251,3.2212,1
dog,"{1: [(1, 1), (3, 1), (5, 2), (9, 4), (10, 3), (11, 4), (12, 1), (13, 1), (14, 1), (15, 1), (16, 2), (17, 1)], 2: [(1, 1), (13, 1), (14, 1), (15, 1)], 3: [(2, 2), (3, 1), (4, 2), (6, 5), (8, 1), (9, 3), (15, 3), (17, 12), (19, 7), (20, 3), (21, 2)], 4: [(1, 1), (19, 2), (20, 3), (23, 1), (27, 4), (35, 2), (36, 7)], 5: [(10, 9), (12, 1), (14, 1), (16, 1), (20, 2), (24, 1), (28, 1), (31, 1), (37, 1)], 6: [(5, 1), (9, 1), (28, 2)], 7: [(26, 1), (31, 1)]}","{1: 22, 2: 4, 3: 41, 4: 20, 5: 18, 6: 4, 7: 2}",9.922772225892357e-05,-4.003366977623003,0.24242424242424243,-0.6154239528859439,3.9928,1
frog,"{1: [(4, 1), (6, 2), (7, 1), (12, 2), (13, 2), (17, 1)], 2: [(3, 1), (8, 2)], 3: [(12, 2), (14, 1)], 4: [(5, 2), (13, 2), (19, 1), (26, 2), (28, 1), (29, 1)], 5: [(3, 2), (5, 1), (10, 5), (17, 1), (18, 4), (21, 2), (23, 1), (24, 1), (26, 1), (38, 2)], 6: [(15, 1)], 7: [(2, 1), (6, 1)]}","{1: 9, 2: 3, 3: 3, 4: 9, 5: 20, 6: 1, 7: 2}",4.201534185738205e-05,-4.376592098473943,0.14646464646464646,-0.8342671923625751,2.781,1
monkey,"{5: [(35, 1)], 6: [(10, 1)], 7: [(23, 1)]}","{5: 1, 6: 1, 7: 1}",2.6818303313222587e-06,-5.571568701689998,0.015151515151515152,-1.8195439355418686,3.233,5
motorcycle,"{1: [(1, 5), (2, 3)], 5: [(7, 1)], 7: [(4, 1), (10, 1)]}","{1: 8, 5: 1, 7: 2}",9.833377881514949e-06,-5.007297271251435,0.025252525252525252,-1.5976951859255124,2.659,1
ship,"{4: [(15, 2), (16, 1), (18, 1), (19, 1), (20, 1), (21, 1), (23, 1), (24, 2), (28, 2), (29, 1), (31, 1), (35, 2), (37, 1)], 6: [(6, 1)]}","{4: 17, 6: 1}",1.609098198793355e-05,-4.793417451306355,0.0707070707070707,-1.1505371545832932,3.7028,4
goblins,"{1: [(5, 7), (8, 1)], 4: [(9, 1), (24, 14), (37, 4)], 5: [(5, 2), (7, 1), (9, 1), (10, 2), (18, 1), (31, 1), (34, 1), (36, 1)], 6: [(6, 1)], 7: [(15, 9), (23, 2), (24, 10), (25, 14), (26, 19), (27, 2)]}","{1: 8, 4: 19, 5: 10, 6: 1, 7: 56}",8.40306837147641e-05,-4.075562102809962,0.10101010101010101,-0.9956351945975499,1.8195,1
monsters,"{2: [(11, 1), (13, 1), (14, 1), (15, 2), (16, 1)], 3: [(1, 1), (4, 2), (6, 1), (11, 1)], 4: [(20, 1), (24, 1), (26, 2), (31, 1)], 5: [(30, 1)], 6: [(26, 1)], 7: [(6, 1), (31, 2), (32, 1)]}","{2: 6, 3: 5, 4: 5, 5: 1, 6: 1, 7: 4}",1.9666755763029898e-05,-4.706267275587454,0.09090909090909091,-1.041392685158225,2.7412,2
elves,"{2: [(3, 2), (10, 1)], 4: [(8, 3), (9, 3), (10, 1), (12, 3), (14, 2), (15, 2), (16, 2), (19, 1), (21, 13), (23, 2), (24, 1), (27, 1), (28, 10)], 5: [(4, 1), (6, 2), (8, 1), (13, 4), (14, 1), (18, 2), (21, 1), (23, 1), (27, 2), (37, 1)], 6: [(3, 2), (15, 1), (16, 1), (18, 1), (19, 5), (21, 1), (22, 1), (24, 1)], 7: [(10, 3), (11, 1), (15, 1), (24, 3), (31, 1), (35, 1), (36, 4)]}","{2: 3, 4: 44, 5: 16, 6: 13, 7: 14}",8.045490993966776e-05,-4.094447446970335,0.20202020202020202,-0.6946051989335688,2.2529,2
cousin,"{1: [(1, 1), (6, 2)], 2: [(11, 1)], 3: [(1, 1)], 4: [(2, 1), (4, 1), (24, 1)], 5: [(1, 5), (2, 1), (6, 4), (8, 4), (20, 1), (25, 1), (26, 1), (35, 1), (36, 1), (37, 1)], 6: [(3, 1), (5, 1), (17, 1)], 7: [(3, 5), (8, 5), (11, 1), (36, 2)]}","{1: 3, 2: 1, 3: 1, 4: 3, 5: 20, 6: 3, 7: 13}",3.9333511526059796e-05,-4.405237279923473,0.12121212121212122,-0.9164539485499251,3.3965,1
