HP1Item,Supported,Supported WF,Unsupported,Unsupported WF,TypeOfCriticalWord
1,rat,"defaultdict(<class 'list'>, {1: [(2, 1), (6, 5)], 2: [(3, 1), (5, 1), (8, 1), (9, 1), (12, 1), (13, 1)], 3: [(1, 1), (4, 11), (7, 2), (12, 1), (13, 2), (16, 4), (17, 8), (18, 2), (19, 13), (21, 4), (22, 1)], 4: [(5, 2), (26, 1)], 5: [(9, 1), (23, 2), (31, 1)]})",dog,"defaultdict(<class 'list'>, {1: [(1, 1), (3, 1), (5, 2), (9, 4), (10, 3), (11, 4), (12, 1), (13, 1), (14, 1), (15, 1), (16, 2), (17, 1)], 2: [(1, 1), (13, 1), (14, 1), (15, 1)], 3: [(2, 2), (3, 1), (4, 2), (6, 5), (8, 1), (9, 3), (15, 3), (17, 12), (19, 7), (20, 3), (21, 2)], 4: [(1, 1), (19, 2), (20, 3), (23, 1), (27, 4), (35, 2), (36, 7)], 5: [(10, 9), (12, 1), (14, 1), (16, 1), (20, 2), (24, 1), (28, 1), (31, 1), (37, 1)], 6: [(5, 1), (9, 1), (28, 2)], 7: [(26, 1), (31, 1)]})",CommonNoun
2,frog,"defaultdict(<class 'list'>, {1: [(4, 1), (6, 2), (7, 1), (12, 2), (13, 2), (17, 1)], 2: [(3, 1), (8, 2)], 3: [(12, 2), (14, 1)], 4: [(5, 2), (13, 2), (19, 1), (26, 2), (28, 1), (29, 1)], 5: [(3, 2), (5, 1), (10, 5), (17, 1), (18, 4), (21, 2), (23, 1), (24, 1), (26, 1), (38, 2)], 6: [(15, 1)], 7: [(2, 1), (6, 1)]})",monkey,"defaultdict(<class 'list'>, {5: [(35, 1)], 6: [(10, 1)], 7: [(23, 1)]})",CommonNoun
3,Bus,"defaultdict(<class 'list'>, {1: [(2, 1)], 2: [(4, 1)], 3: [(3, 22), (4, 1), (5, 1), (10, 1), (14, 1)], 4: [(9, 1)], 5: [(23, 1), (24, 19)], 6: [(4, 1), (11, 1), (30, 1)], 7: [(5, 1), (9, 1)]})",Train,"defaultdict(<class 'list'>, {1: [(5, 5), (6, 21), (7, 2), (8, 1), (9, 2), (13, 1)], 2: [(4, 1), (5, 8), (7, 2), (9, 1), (10, 2), (11, 2), (17, 1), (18, 1)], 3: [(2, 1), (4, 1), (5, 20), (6, 1), (7, 2), (9, 1), (10, 2), (12, 1)], 4: [(3, 2), (11, 9), (15, 1), (21, 1), (37, 2)], 5: [(2, 1), (7, 3), (10, 12), (11, 1), (14, 1), (18, 1), (21, 1), (22, 2), (23, 3), (29, 1), (38, 4)], 6: [(7, 15), (8, 9), (11, 1), (13, 1)], 7: [(6, 1), (24, 1), (29, 1), (33, 1), (35, 1), (36, 7)]})",CommonNoun/ProperName
4,motorcycle,"defaultdict(<class 'list'>, {1: [(1, 5), (2, 3)], 5: [(7, 1)], 7: [(4, 1), (10, 1)]})",ship,"defaultdict(<class 'list'>, {4: [(15, 2), (16, 1), (18, 1), (19, 1), (20, 1), (21, 1), (23, 1), (24, 2), (28, 2), (29, 1), (31, 1), (35, 2), (37, 1)], 6: [(6, 1)]})",CommonNoun
5,goblins,"defaultdict(<class 'list'>, {1: [(5, 7), (8, 1)], 4: [(9, 1), (24, 14), (37, 4)], 5: [(5, 2), (7, 1), (9, 1), (10, 2), (18, 1), (31, 1), (34, 1), (36, 1)], 6: [(6, 1)], 7: [(15, 9), (23, 2), (24, 10), (25, 14), (26, 19), (27, 2)]})",monsters,"defaultdict(<class 'list'>, {2: [(11, 1), (13, 1), (14, 1), (15, 2), (16, 1)], 3: [(1, 1), (4, 2), (6, 1), (11, 1)], 4: [(20, 1), (24, 1), (26, 2), (31, 1)], 5: [(30, 1)], 6: [(26, 1)], 7: [(6, 1), (31, 2), (32, 1)]})",CommonNoun
6,centaurs,"defaultdict(<class 'list'>, {1: [(15, 5)], 2: [(15, 1)], 5: [(7, 1), (9, 1), (27, 9), (30, 6), (33, 20), (34, 1), (36, 2), (38, 3)], 6: [(4, 1), (30, 2)], 7: [(36, 6)]})",elves,"defaultdict(<class 'list'>, {2: [(3, 2), (10, 1)], 4: [(8, 3), (9, 3), (10, 1), (12, 3), (14, 2), (15, 2), (16, 2), (19, 1), (21, 13), (23, 2), (24, 1), (27, 1), (28, 10)], 5: [(4, 1), (6, 2), (8, 1), (13, 4), (14, 1), (18, 2), (21, 1), (23, 1), (27, 2), (37, 1)], 6: [(3, 2), (15, 1), (16, 1), (18, 1), (19, 5), (21, 1), (22, 1), (24, 1)], 7: [(10, 3), (11, 1), (15, 1), (24, 3), (31, 1), (35, 1), (36, 4)]})",CommonNoun
7,godfather,"defaultdict(<class 'list'>, {3: [(10, 2), (20, 2), (22, 5)], 4: [(2, 2), (3, 2), (5, 1), (15, 1), (27, 2)], 5: [(1, 1), (4, 1), (5, 4), (14, 1), (21, 1), (22, 1), (24, 2), (37, 1), (38, 4)], 6: [(3, 1), (4, 1), (16, 1), (30, 1)], 7: [(2, 1), (3, 1), (25, 3)]})",cousin,"defaultdict(<class 'list'>, {1: [(1, 1), (6, 2)], 2: [(11, 1)], 3: [(1, 1)], 4: [(2, 1), (4, 1), (24, 1)], 5: [(1, 5), (2, 1), (6, 4), (8, 4), (20, 1), (25, 1), (26, 1), (35, 1), (36, 1), (37, 1)], 6: [(3, 1), (5, 1), (17, 1)], 7: [(3, 5), (8, 5), (11, 1), (36, 2)]})",CommonNoun
8,Prefect,"defaultdict(<class 'list'>, {1: [(6, 5), (7, 1), (9, 1), (10, 1), (12, 2)], 2: [(3, 2), (4, 1), (5, 1), (9, 2), (12, 4), (13, 2), (14, 2), (16, 1), (17, 1), (18, 1)], 4: [(12, 1), (15, 1), (25, 1), (29, 1)], 5: [(9, 22), (10, 5), (11, 1), (13, 2), (14, 4), (16, 2), (21, 2), (28, 1), (29, 1), (37, 1)], 6: [(7, 3), (11, 1), (17, 1), (20, 1), (23, 1)], 7: [(18, 1), (33, 1)]})",Beater,"defaultdict(<class 'list'>, {1: [(11, 1)], 3: [(13, 2), (15, 2)], 4: [(7, 1), (8, 1), (9, 1), (16, 1), (27, 1)], 6: [(14, 1)]})",HPWorldNoun
9,werewolf,"defaultdict(<class 'list'>, {1: [(13, 1), (15, 3), (16, 1)], 2: [(6, 1), (10, 3), (17, 1)], 3: [(9, 4), (17, 4), (18, 6), (19, 3), (20, 3), (21, 4), (22, 3)], 5: [(5, 1), (9, 1), (14, 1), (15, 1), (22, 3), (23, 1), (28, 2)], 6: [(16, 3), (22, 2), (27, 3), (28, 2), (29, 5)], 7: [(1, 1), (8, 1), (11, 3), (23, 7), (25, 1)]})",genie,"defaultdict(<class 'list'>, {})",CommonNoun
10,unicorn,"defaultdict(<class 'list'>, {1: [(5, 3), (6, 1), (15, 17), (17, 1)], 3: [(4, 1), (20, 1), (21, 1)], 4: [(18, 1), (24, 6), (26, 1), (33, 1)], 5: [(31, 1)], 6: [(7, 1), (18, 1), (22, 2)], 7: [(13, 1), (20, 1), (24, 1)]})",fairy,"defaultdict(<class 'list'>, {3: [(21, 1)], 4: [(13, 1), (22, 1), (23, 3)], 5: [(13, 1)], 7: [(21, 1), (22, 1), (24, 1)]})",CommonNoun
