HP3Item,Supported,Supported WF,Related,Related WF,Unrelated,Unrelated WF,TypeOfSupported
1,goblins,"defaultdict(<class 'list'>, {1: [(5, 7), (8, 1)], 4: [(9, 1), (24, 14), (37, 4)], 5: [(5, 2), (7, 1), (9, 1), (10, 2), (18, 1), (31, 1), (34, 1), (36, 1)], 6: [(6, 1)], 7: [(15, 9), (23, 2), (24, 10), (25, 14), (26, 19), (27, 2)]})",werewolves,"defaultdict(<class 'list'>, {1: [(15, 2)], 2: [(4, 1), (6, 1), (15, 1), (16, 1)], 3: [(9, 5), (10, 1), (21, 1)], 4: [(14, 1), (24, 1), (31, 2), (36, 1)], 5: [(6, 1), (14, 1)], 6: [(6, 1), (16, 5), (17, 1), (22, 1)], 7: [(1, 1)]})",Alohomora,"defaultdict(<class 'list'>, {1: [(9, 1), (16, 1)], 3: [(21, 1)], 5: [(23, 1), (29, 1), (34, 1), (35, 1)], 6: [(8, 1)], 7: [(10, 1)]})",CommonNoun
2,centaurs,"defaultdict(<class 'list'>, {1: [(15, 5)], 2: [(15, 1)], 5: [(7, 1), (9, 1), (27, 9), (30, 6), (33, 20), (34, 1), (36, 2), (38, 3)], 6: [(4, 1), (30, 2)], 7: [(36, 6)]})",unicorns,"defaultdict(<class 'list'>, {1: [(5, 1), (15, 3)], 2: [(15, 1)], 4: [(24, 2), (26, 5), (28, 1)], 5: [(15, 1), (31, 1)], 7: [(7, 1)]})",Errol,"defaultdict(<class 'list'>, {2: [(3, 1), (4, 3), (6, 3)], 3: [(1, 5), (2, 3), (4, 1), (5, 1)], 4: [(3, 2), (5, 1)]})",CommonNoun
3,Quaffle,"defaultdict(<class 'list'>, {1: [(10, 10), (11, 9)], 2: [(7, 2)], 3: [(8, 1), (15, 11)], 4: [(8, 12)], 5: [(14, 8), (19, 19), (21, 1), (26, 2), (30, 5)], 6: [(18, 1), (19, 5), (24, 1)], 7: [(7, 1)]})",snitch,"defaultdict(<class 'list'>, {1: [(10, 4), (11, 8), (13, 4), (17, 2)], 2: [(7, 3), (10, 10)], 3: [(8, 1), (9, 11), (12, 1), (13, 15), (15, 12), (22, 1)], 4: [(7, 2), (8, 10), (37, 1)], 5: [(14, 5), (18, 1), (19, 16), (25, 1), (26, 3), (28, 6), (29, 1), (31, 1), (35, 1)], 6: [(14, 6), (16, 1), (19, 3), (24, 1)], 7: [(7, 23), (16, 1), (18, 1), (19, 1), (20, 1), (22, 8), (23, 1), (34, 3), (36, 1)]})",Krum,"defaultdict(<class 'list'>, {4: [(5, 1), (7, 6), (8, 20), (9, 5), (11, 2), (12, 1), (15, 1), (16, 14), (17, 4), (18, 8), (19, 3), (20, 17), (21, 2), (22, 1), (23, 14), (24, 2), (26, 15), (27, 3), (28, 36), (29, 6), (31, 16), (35, 3), (37, 10)], 5: [(21, 2)], 6: [(14, 3), (15, 3)], 7: [(8, 26), (12, 2), (16, 3)]})",HPWorldNoun
4,Divination,"defaultdict(<class 'list'>, {2: [(14, 1)], 3: [(4, 3), (6, 10), (12, 2), (15, 4), (16, 1), (22, 2)], 4: [(10, 1), (13, 2), (14, 2), (15, 2), (20, 2), (21, 1), (24, 1), (29, 2), (30, 1), (31, 2), (37, 1)], 5: [(12, 4), (13, 1), (15, 3), (17, 5), (21, 1), (25, 1), (26, 3), (27, 2), (29, 2), (31, 2), (37, 2), (38, 1)], 6: [(5, 3), (8, 2), (9, 3), (15, 1), (20, 1), (21, 1), (25, 1)]})",Transfiguration,"defaultdict(<class 'list'>, {1: [(5, 2), (7, 1), (8, 1), (16, 1)], 2: [(4, 2), (6, 2), (11, 1), (13, 1), (16, 1), (17, 1), (18, 1)], 3: [(4, 2), (5, 1), (6, 2), (8, 1), (12, 1), (16, 2)], 4: [(13, 2), (15, 1), (19, 1), (20, 2), (22, 1), (26, 2), (28, 1), (31, 1)], 5: [(6, 1), (13, 4), (15, 1), (16, 1), (21, 2), (26, 2), (28, 2), (29, 3), (31, 5), (32, 3)], 6: [(5, 3), (7, 1), (9, 5), (11, 1), (12, 1), (14, 1), (15, 5), (24, 1)], 7: [(2, 1), (10, 1), (18, 1), (29, 1), (33, 1)]})",basilisk,"defaultdict(<class 'list'>, {2: [(16, 14), (17, 13), (18, 2)], 4: [(17, 1)], 5: [(9, 1), (15, 1), (16, 1), (32, 1)], 7: [(6, 5), (15, 1), (22, 1), (31, 3)]})",HPWorldNoun
5,Transfiguration,"defaultdict(<class 'list'>, {1: [(5, 2), (7, 1), (8, 1), (16, 1)], 2: [(4, 2), (6, 2), (11, 1), (13, 1), (16, 1), (17, 1), (18, 1)], 3: [(4, 2), (5, 1), (6, 2), (8, 1), (12, 1), (16, 2)], 4: [(13, 2), (15, 1), (19, 1), (20, 2), (22, 1), (26, 2), (28, 1), (31, 1)], 5: [(6, 1), (13, 4), (15, 1), (16, 1), (21, 2), (26, 2), (28, 2), (29, 3), (31, 5), (32, 3)], 6: [(5, 3), (7, 1), (9, 5), (11, 1), (12, 1), (14, 1), (15, 5), (24, 1)], 7: [(2, 1), (10, 1), (18, 1), (29, 1), (33, 1)]})",Arithmancy,"defaultdict(<class 'list'>, {2: [(14, 1)], 3: [(4, 1), (6, 5), (12, 5), (15, 2), (16, 2)], 4: [(13, 1), (20, 1), (29, 1)], 5: [(15, 1), (27, 1), (29, 1), (31, 2)], 6: [(9, 2), (15, 1), (24, 1)]})",Alley,"defaultdict(<class 'list'>, {1: [(5, 3), (6, 4), (17, 1)], 2: [(4, 13), (13, 1), (14, 1)], 3: [(3, 3), (4, 6), (11, 2)], 4: [(5, 1), (6, 1), (10, 2), (18, 1)], 5: [(1, 3), (2, 1), (8, 2), (9, 2), (22, 1), (29, 1), (30, 2), (32, 1), (34, 2)], 6: [(2, 1), (5, 2), (6, 8), (7, 2), (13, 3), (17, 2), (21, 1), (30, 1)], 7: [(11, 1), (12, 1), (22, 1), (24, 1), (26, 5)]})",HPWorldNoun
6,Myrtle,"defaultdict(<class 'list'>, {2: [(8, 13), (9, 9), (10, 1), (12, 4), (13, 9), (15, 1), (16, 7), (17, 2), (18, 1)], 4: [(22, 1), (25, 24), (26, 3)], 6: [(5, 1), (15, 1), (21, 6), (24, 8)]})",Peeves,"defaultdict(<class 'list'>, {1: [(7, 6), (8, 2), (9, 15), (10, 1), (13, 1), (14, 1), (16, 6)], 2: [(8, 16), (9, 1), (11, 8), (13, 1), (14, 1)], 3: [(7, 8), (8, 4), (9, 3), (10, 1), (22, 2)], 4: [(12, 10), (15, 1), (20, 1), (22, 1), (25, 19)], 5: [(12, 7), (14, 1), (17, 1), (18, 5), (21, 1), (28, 1), (29, 3), (30, 2), (32, 3), (38, 2)], 6: [(15, 1), (18, 1), (19, 7), (23, 1), (25, 2), (29, 1)], 7: [(16, 1), (29, 1), (30, 4), (32, 1), (36, 2)]})",gillywater,"defaultdict(<class 'list'>, {3: [(10, 1)], 5: [(25, 1)], 6: [(15, 1)]})",ProperName
7,Lady,"defaultdict(<class 'list'>, {1: [(2, 2), (9, 4), (10, 1), (12, 1), (16, 1)], 2: [(5, 1)], 3: [(5, 1), (6, 1), (8, 6), (9, 2), (13, 2), (14, 2), (15, 1), (21, 2)], 4: [(12, 1), (14, 2), (17, 6), (19, 2), (21, 3), (22, 1), (23, 2), (25, 1), (28, 1), (31, 1)], 5: [(1, 1), (11, 3), (13, 4), (19, 1), (38, 2)], 6: [(4, 1), (7, 2), (12, 1), (14, 3), (15, 2), (16, 1), (17, 3), (18, 1), (19, 1), (20, 2), (23, 3), (24, 1), (29, 1)], 7: [(6, 1), (17, 1), (21, 1), (31, 5), (33, 1)]})",Baron,"defaultdict(<class 'list'>, {1: [(7, 1), (10, 1), (16, 3)], 2: [(8, 1)], 4: [(12, 2), (21, 1)], 5: [(11, 1), (14, 1)], 6: [(23, 4)], 7: [(31, 4)]})",werewolf,"defaultdict(<class 'list'>, {1: [(13, 1), (15, 3), (16, 1)], 2: [(6, 1), (10, 3), (17, 1)], 3: [(9, 4), (17, 4), (18, 6), (19, 3), (20, 3), (21, 4), (22, 3)], 5: [(5, 1), (9, 1), (14, 1), (15, 1), (22, 3), (23, 1), (28, 2)], 6: [(16, 3), (22, 2), (27, 3), (28, 2), (29, 5)], 7: [(1, 1), (8, 1), (11, 3), (23, 7), (25, 1)]})",CommonNoun/ProperName
8,Baron,"defaultdict(<class 'list'>, {1: [(7, 1), (10, 1), (16, 3)], 2: [(8, 1)], 4: [(12, 2), (21, 1)], 5: [(11, 1), (14, 1)], 6: [(23, 4)], 7: [(31, 4)]})",Friar,"defaultdict(<class 'list'>, {1: [(7, 4)], 2: [(8, 1)], 4: [(12, 1)], 5: [(28, 1)]})",Lupin,"defaultdict(<class 'list'>, {3: [(5, 35), (7, 46), (8, 41), (9, 10), (10, 18), (11, 6), (12, 45), (13, 4), (14, 15), (16, 3), (17, 31), (18, 27), (19, 52), (20, 8), (21, 9), (22, 20)], 4: [(12, 1), (14, 2), (20, 1), (25, 1), (26, 1), (36, 1)], 5: [(3, 25), (4, 8), (5, 21), (6, 2), (7, 4), (8, 1), (9, 15), (10, 5), (12, 1), (13, 1), (14, 2), (15, 3), (23, 4), (24, 5), (28, 11), (29, 25), (31, 2), (32, 1), (35, 4), (36, 10), (37, 1), (38, 5)], 6: [(6, 2), (11, 1), (12, 1), (16, 22), (17, 2), (22, 1), (24, 1), (28, 1), (29, 25), (30, 1)], 7: [(1, 1), (4, 4), (5, 39), (6, 1), (7, 3), (8, 3), (9, 1), (10, 1), (11, 50), (12, 1), (14, 1), (17, 1), (22, 6), (25, 11), (30, 10), (31, 1), (33, 5), (34, 9), (36, 3)]})",CommonNoun/ProperName
9,Powder,"defaultdict(<class 'list'>, {2: [(4, 9), (5, 2), (17, 1)], 3: [(8, 1), (14, 1)], 4: [(4, 2), (15, 1), (16, 1), (27, 1), (33, 1)], 5: [(3, 1), (6, 1), (12, 1), (22, 2), (25, 1), (29, 3), (32, 1)], 6: [(1, 2), (4, 1), (6, 1), (20, 2), (29, 2), (30, 1)], 7: [(7, 1), (10, 1)]})",Portkey,"defaultdict(<class 'list'>, {4: [(6, 4), (9, 1), (15, 1), (32, 1), (33, 1), (34, 2), (35, 4), (36, 1)], 5: [(3, 1), (7, 1), (20, 1), (22, 4), (36, 2)], 7: [(4, 2), (5, 5), (6, 1), (18, 1), (19, 1)]})",memories,"defaultdict(<class 'list'>, {2: [(13, 3), (16, 1), (18, 1)], 3: [(10, 1)], 4: [(9, 1), (13, 1), (14, 1), (27, 1), (30, 1), (36, 2), (37, 1)], 5: [(6, 1), (19, 1), (23, 1), (24, 4), (26, 6)], 6: [(1, 2), (4, 1), (10, 1), (13, 2), (17, 4), (20, 2), (22, 1)], 7: [(2, 1), (3, 1), (4, 1), (6, 1), (7, 1), (8, 2), (9, 1), (10, 2), (14, 1), (17, 2), (33, 2)]})",CommonNoun/ProperName
10,Charms,"defaultdict(<class 'list'>, {1: [(8, 1), (9, 2), (10, 1), (11, 1), (15, 1), (16, 1)], 2: [(3, 2), (7, 1), (8, 1), (9, 1), (11, 2), (13, 2), (16, 1)], 3: [(8, 1), (10, 1), (15, 8), (16, 3)], 4: [(1, 1), (7, 1), (8, 1), (11, 1), (12, 1), (15, 1), (18, 2), (19, 1), (20, 3), (24, 1), (26, 3), (27, 1), (29, 1)], 5: [(13, 4), (15, 2), (18, 2), (22, 2), (23, 1), (24, 1), (25, 1), (26, 1), (29, 2), (30, 2), (31, 8), (37, 1), (38, 1)], 6: [(3, 2), (5, 1), (6, 2), (9, 8), (11, 1), (12, 1), (15, 3), (17, 2), (24, 3), (28, 1)], 7: [(4, 1), (5, 2), (10, 1), (11, 1), (13, 2), (14, 2), (15, 1), (16, 1), (21, 1), (28, 2), (30, 1), (31, 1), (36, 2)]})",Potions,"defaultdict(<class 'list'>, {1: [(5, 1), (7, 1), (8, 6), (9, 1), (12, 2), (13, 1), (15, 2), (17, 1)], 2: [(1, 1), (5, 1), (6, 1), (8, 2), (9, 6), (10, 3), (11, 4), (12, 2), (13, 1), (14, 1), (15, 1)], 3: [(1, 1), (4, 1), (5, 1), (7, 2), (8, 1), (10, 1), (11, 1), (16, 2), (22, 1)], 4: [(12, 1), (13, 1), (14, 1), (15, 2), (18, 3), (22, 3), (27, 5), (35, 1)], 5: [(3, 1), (12, 5), (15, 1), (17, 5), (18, 2), (21, 1), (22, 1), (23, 1), (24, 6), (26, 1), (28, 4), (29, 5), (31, 5)], 6: [(4, 1), (5, 4), (6, 2), (8, 5), (9, 10), (10, 1), (11, 2), (12, 2), (15, 9), (16, 2), (18, 11), (19, 2), (20, 1), (21, 4), (22, 3), (24, 6), (25, 3), (27, 1), (30, 1)], 7: [(12, 1), (26, 1), (28, 1), (31, 2)]})",Whinging,"defaultdict(<class 'list'>, {1: [(3, 1)], 5: [(1, 5), (2, 4), (8, 6), (20, 1)]})",CommonNoun/ProperName
