HP3Item,Category,Word,Word WF,Alternate form,Alternate form WF
1,Magical creature--being,goblins,"defaultdict(<class 'list'>, {1: [(5, 7), (8, 1)], 4: [(9, 1), (24, 14), (37, 4)], 5: [(5, 2), (7, 1), (9, 1), (10, 2), (18, 1), (31, 1), (34, 1), (36, 1)], 6: [(6, 1)], 7: [(15, 9), (23, 2), (24, 10), (25, 14), (26, 19), (27, 2)]})",,"defaultdict(<class 'list'>, {})"
1,Magical creature--being,werewolves,"defaultdict(<class 'list'>, {1: [(15, 2)], 2: [(4, 1), (6, 1), (15, 1), (16, 1)], 3: [(9, 5), (10, 1), (21, 1)], 4: [(14, 1), (24, 1), (31, 2), (36, 1)], 5: [(6, 1), (14, 1)], 6: [(6, 1), (16, 5), (17, 1), (22, 1)], 7: [(1, 1)]})",,"defaultdict(<class 'list'>, {})"
2,Magical creature--beast,centaurs,"defaultdict(<class 'list'>, {1: [(15, 5)], 2: [(15, 1)], 5: [(7, 1), (9, 1), (27, 9), (30, 6), (33, 20), (34, 1), (36, 2), (38, 3)], 6: [(4, 1), (30, 2)], 7: [(36, 6)]})",,"defaultdict(<class 'list'>, {})"
2,Magical creature--beast,unicorns,"defaultdict(<class 'list'>, {1: [(5, 1), (15, 3)], 2: [(15, 1)], 4: [(24, 2), (26, 5), (28, 1)], 5: [(15, 1), (31, 1)], 7: [(7, 1)]})",,"defaultdict(<class 'list'>, {})"
3,Ball used in Quidditch,Quaffle,"defaultdict(<class 'list'>, {1: [(10, 10), (11, 9)], 2: [(7, 2)], 3: [(8, 1), (15, 11)], 4: [(8, 12)], 5: [(14, 8), (19, 19), (21, 1), (26, 2), (30, 5)], 6: [(18, 1), (19, 5), (24, 1)], 7: [(7, 1)]})",,"defaultdict(<class 'list'>, {})"
4,Magical area of study--Hogwarts,Divination,"defaultdict(<class 'list'>, {2: [(14, 1)], 3: [(4, 3), (6, 10), (12, 2), (15, 4), (16, 1), (22, 2)], 4: [(10, 1), (13, 2), (14, 2), (15, 2), (20, 2), (21, 1), (24, 1), (29, 2), (30, 1), (31, 2), (37, 1)], 5: [(12, 4), (13, 1), (15, 3), (17, 5), (21, 1), (25, 1), (26, 3), (27, 2), (29, 2), (31, 2), (37, 2), (38, 1)], 6: [(5, 3), (8, 2), (9, 3), (15, 1), (20, 1), (21, 1), (25, 1)]})",,"defaultdict(<class 'list'>, {})"
5,Magical area of study--Hogwarts,Transfiguration,"defaultdict(<class 'list'>, {1: [(5, 2), (7, 1), (8, 1), (16, 1)], 2: [(4, 2), (6, 2), (11, 1), (13, 1), (16, 1), (17, 1), (18, 1)], 3: [(4, 2), (5, 1), (6, 2), (8, 1), (12, 1), (16, 2)], 4: [(13, 2), (15, 1), (19, 1), (20, 2), (22, 1), (26, 2), (28, 1), (31, 1)], 5: [(6, 1), (13, 4), (15, 1), (16, 1), (21, 2), (26, 2), (28, 2), (29, 3), (31, 5), (32, 3)], 6: [(5, 3), (7, 1), (9, 5), (11, 1), (12, 1), (14, 1), (15, 5), (24, 1)], 7: [(2, 1), (10, 1), (18, 1), (29, 1), (33, 1)]})",,"defaultdict(<class 'list'>, {})"
9,Magical artifact--transportation,Portkey,"defaultdict(<class 'list'>, {4: [(6, 4), (9, 1), (15, 1), (32, 1), (33, 1), (34, 2), (35, 4), (36, 1)], 5: [(3, 1), (7, 1), (20, 1), (22, 4), (36, 2)], 7: [(4, 2), (5, 5), (6, 1), (18, 1), (19, 1)]})",,"defaultdict(<class 'list'>, {})"
10,Magical area of study--Hogwarts,Charms,"defaultdict(<class 'list'>, {1: [(8, 1), (9, 2), (10, 1), (11, 1), (15, 1), (16, 1)], 2: [(3, 2), (7, 1), (8, 1), (9, 1), (11, 2), (13, 2), (16, 1)], 3: [(8, 1), (10, 1), (15, 8), (16, 3)], 4: [(1, 1), (7, 1), (8, 1), (11, 1), (12, 1), (15, 1), (18, 2), (19, 1), (20, 3), (24, 1), (26, 3), (27, 1), (29, 1)], 5: [(13, 4), (15, 2), (18, 2), (22, 2), (23, 1), (24, 1), (25, 1), (26, 1), (29, 2), (30, 2), (31, 8), (37, 1), (38, 1)], 6: [(3, 2), (5, 1), (6, 2), (9, 8), (11, 1), (12, 1), (15, 3), (17, 2), (24, 3), (28, 1)], 7: [(4, 1), (5, 2), (10, 1), (11, 1), (13, 2), (14, 2), (15, 1), (16, 1), (21, 1), (28, 2), (30, 1), (31, 1), (36, 2)]})",,"defaultdict(<class 'list'>, {})"
10,Magical area of study--Hogwarts,Potions,"defaultdict(<class 'list'>, {1: [(5, 1), (7, 1), (8, 6), (9, 1), (12, 2), (13, 1), (15, 2), (17, 1)], 2: [(1, 1), (5, 1), (6, 1), (8, 2), (9, 6), (10, 3), (11, 4), (12, 2), (13, 1), (14, 1), (15, 1)], 3: [(1, 1), (4, 1), (5, 1), (7, 2), (8, 1), (10, 1), (11, 1), (16, 2), (22, 1)], 4: [(12, 1), (13, 1), (14, 1), (15, 2), (18, 3), (22, 3), (27, 5), (35, 1)], 5: [(3, 1), (12, 5), (15, 1), (17, 5), (18, 2), (21, 1), (22, 1), (23, 1), (24, 6), (26, 1), (28, 4), (29, 5), (31, 5)], 6: [(4, 1), (5, 4), (6, 2), (8, 5), (9, 10), (10, 1), (11, 2), (12, 2), (15, 9), (16, 2), (18, 11), (19, 2), (20, 1), (21, 4), (22, 3), (24, 6), (25, 3), (27, 1), (30, 1)], 7: [(12, 1), (26, 1), (28, 1), (31, 2)]})",,"defaultdict(<class 'list'>, {})"
