Category,Word,WF
Game,Gobstones,"defaultdict(<class 'list'>, {3: [(4, 1), (11, 1), (16, 1)], 4: [(20, 1)], 5: [(7, 1), (14, 1), (17, 2)], 6: [(25, 1)]})"
Group of wizards,Unspeakables,"defaultdict(<class 'list'>, {4: [(7, 1)], 5: [(24, 1)], 7: [(12, 1)]})"
Location--Diagon Alley,Eeylops,"defaultdict(<class 'list'>, {1: [(5, 2)], 6: [(6, 2)]})"
Location--Hogsmeade,Gladrags,"defaultdict(<class 'list'>, {4: [(8, 1), (27, 1)]})"
Location--prison,Nurmengard,"defaultdict(<class 'list'>, {7: [(18, 2), (24, 1), (25, 1), (35, 1)]})"
Location--school,Hogwarts,"defaultdict(<class 'list'>, {1: [(4, 14), (5, 17), (6, 13), (7, 9), (8, 2), (9, 3), (10, 4), (11, 1), (12, 6), (13, 1), (15, 2), (16, 3), (17, 4)], 2: [(1, 7), (2, 13), (3, 4), (4, 11), (5, 10), (6, 3), (7, 2), (9, 7), (10, 2), (12, 4), (13, 10), (14, 4), (15, 1), (16, 2), (17, 6), (18, 7)], 3: [(1, 17), (2, 2), (3, 6), (4, 12), (5, 11), (6, 2), (7, 1), (8, 3), (9, 1), (10, 7), (11, 2), (12, 3), (14, 3), (15, 2), (16, 2), (18, 8), (19, 4), (22, 6)], 4: [(1, 1), (2, 8), (3, 2), (4, 3), (5, 5), (6, 2), (7, 6), (8, 1), (10, 6), (11, 18), (12, 14), (15, 15), (16, 12), (17, 3), (18, 4), (19, 8), (20, 1), (21, 7), (22, 5), (23, 4), (24, 6), (25, 5), (26, 2), (27, 8), (28, 3), (29, 4), (30, 5), (31, 8), (32, 1), (33, 4), (34, 2), (35, 7), (37, 7)], 5: [(2, 6), (3, 3), (4, 2), (6, 3), (7, 3), (8, 3), (9, 7), (10, 4), (11, 12), (12, 6), (13, 2), (14, 8), (15, 14), (16, 1), (17, 7), (18, 4), (19, 2), (20, 1), (21, 2), (22, 4), (23, 10), (24, 7), (25, 5), (26, 7), (27, 3), (28, 2), (29, 4), (30, 2), (31, 1), (32, 3), (33, 1), (34, 2), (36, 3), (37, 4), (38, 8)], 6: [(1, 1), (2, 6), (3, 4), (4, 11), (5, 2), (6, 5), (7, 6), (8, 4), (9, 1), (11, 4), (12, 3), (13, 15), (15, 1), (16, 7), (17, 10), (18, 3), (19, 4), (20, 12), (22, 3), (23, 6), (24, 3), (25, 1), (27, 6), (28, 1), (29, 10), (30, 6)], 7: [(1, 1), (2, 7), (5, 1), (6, 6), (7, 3), (8, 3), (10, 4), (11, 5), (12, 4), (13, 3), (14, 1), (15, 12), (16, 6), (18, 2), (21, 1), (22, 3), (23, 1), (24, 7), (25, 3), (26, 1), (27, 7), (28, 5), (29, 8), (30, 5), (31, 10), (33, 8), (34, 1), (35, 1), (36, 14)]})"
Magical ability,Disapparition,"defaultdict(<class 'list'>, {7: [(3, 1), (19, 1)]})"
Magical ability,Metamorphmagi,"defaultdict(<class 'list'>, {5: [(3, 1)]})"
Magical area of study,magizoology,"defaultdict(<class 'list'>, {})"
Magical area of study--Hogwarts,Alchemy,"defaultdict(<class 'list'>, {1: [(6, 1), (13, 2)]})"
Magical area of study--Hogwarts,Flying,"defaultdict(<class 'list'>, {1: [(1, 3), (2, 2), (5, 1), (6, 1), (9, 5), (11, 2), (16, 1)], 2: [(1, 2), (3, 3), (4, 2), (5, 7), (6, 3), (10, 4), (11, 1), (12, 1), (17, 2)], 3: [(1, 1), (4, 1), (8, 1), (9, 1), (12, 1), (13, 1), (15, 3), (16, 1), (21, 1), (22, 1)], 4: [(2, 2), (4, 1), (5, 1), (7, 1), (8, 3), (9, 4), (11, 1), (13, 1), (14, 2), (15, 2), (16, 2), (20, 2), (21, 1), (22, 2), (23, 2), (25, 1), (26, 3), (29, 1), (30, 1)], 5: [(1, 1), (2, 2), (3, 7), (6, 1), (7, 2), (9, 1), (13, 1), (14, 5), (16, 1), (17, 1), (18, 2), (21, 2), (22, 1), (25, 1), (27, 1), (28, 3), (31, 1), (33, 3), (35, 7), (36, 4)], 6: [(3, 1), (4, 1), (5, 1), (8, 1), (10, 1), (12, 2), (16, 1), (18, 2), (24, 1), (27, 2), (28, 3), (29, 1)], 7: [(4, 5), (5, 2), (6, 1), (7, 2), (9, 1), (11, 2), (12, 1), (13, 2), (17, 2), (21, 1), (23, 4), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 3), (31, 2), (32, 2), (33, 2), (36, 1)]})"
Magical artifact--detector,foe-glass,"defaultdict(<class 'list'>, {})"
Magical artifact--money,Knut,"defaultdict(<class 'list'>, {5: [(9, 1), (12, 1), (14, 1), (26, 1), (27, 1)], 6: [(6, 2)], 7: [(21, 1)]})"
Magical artifact--money,Sickle,"defaultdict(<class 'list'>, {1: [(5, 1), (12, 1)], 5: [(3, 1)]})"
Magical artifact--other,Omnioculars,"defaultdict(<class 'list'>, {4: [(7, 3), (8, 16), (9, 1), (27, 1), (28, 1)]})"
Magical artifact--other,Spellotape,"defaultdict(<class 'list'>, {2: [(6, 1)], 3: [(6, 1)], 4: [(10, 1)], 5: [(23, 1)], 7: [(13, 1)]})"
