Domain Word,Occurrences,Word Count By Book
rat,"{1: [(2, 1), (6, 5)], 2: [(3, 1), (5, 1), (8, 1), (9, 1), (12, 1), (13, 1)], 3: [(1, 1), (4, 11), (7, 2), (12, 1), (13, 2), (16, 4), (17, 8), (18, 2), (19, 13), (21, 4), (23, 1)], 4: [(5, 2), (26, 1)], 5: [(9, 1), (23, 2), (31, 1)]}","{1: 6, 2: 6, 3: 49, 4: 3, 5: 4}"
dog,"{1: [(1, 1), (3, 1), (5, 2), (9, 4), (10, 3), (11, 4), (12, 1), (13, 1), (14, 1), (15, 1), (16, 2), (17, 1)], 2: [(1, 1), (13, 1), (14, 1), (15, 1)], 3: [(2, 2), (3, 1), (4, 2), (6, 5), (8, 1), (9, 3), (15, 3), (17, 12), (19, 7), (20, 3), (21, 2)], 4: [(1, 1), (19, 2), (20, 3), (23, 1), (27, 4), (35, 2), (36, 7)], 5: [(10, 9), (12, 1), (14, 1), (16, 1), (20, 2), (24, 1), (28, 1), (31, 1), (37, 1)], 6: [(5, 1), (9, 1), (28, 2)], 7: [(26, 1), (31, 1)]}","{1: 22, 2: 4, 3: 41, 4: 20, 5: 18, 6: 4, 7: 2}"
frog,"{1: [(4, 1), (6, 2), (7, 1), (12, 2), (13, 2), (17, 1)], 2: [(3, 1), (8, 2)], 3: [(12, 2), (14, 1)], 4: [(5, 2), (13, 2), (19, 1), (26, 2), (28, 1), (29, 1)], 5: [(3, 2), (5, 1), (10, 5), (17, 1), (18, 4), (21, 2), (23, 1), (24, 1), (26, 1), (38, 2)], 6: [(15, 1)], 7: [(2, 1), (6, 1)]}","{1: 9, 2: 3, 3: 3, 4: 9, 5: 20, 6: 1, 7: 2}"
monkey,"{5: [(35, 1)], 6: [(10, 1)], 7: [(23, 1)]}","{5: 1, 6: 1, 7: 1}"
Bus,"{1: [(2, 1)], 2: [(4, 1)], 3: [(3, 22), (4, 1), (5, 1), (10, 1), (14, 1)], 4: [(9, 1)], 5: [(23, 1), (24, 19)], 6: [(4, 1), (11, 1), (30, 1)], 7: [(5, 1), (9, 1)]}","{1: 1, 2: 1, 3: 26, 4: 1, 5: 20, 6: 3, 7: 2}"
Train,"{1: [(5, 5), (6, 21), (7, 2), (8, 1), (9, 2), (13, 1)], 2: [(4, 1), (5, 8), (7, 2), (9, 1), (10, 2), (11, 2), (17, 1), (18, 1)], 3: [(2, 1), (4, 1), (5, 20), (6, 1), (7, 2), (9, 1), (10, 2), (12, 1)], 4: [(3, 2), (11, 9), (15, 1), (21, 1), (37, 2)], 5: [(2, 1), (7, 3), (10, 12), (11, 1), (14, 1), (18, 1), (21, 1), (22, 2), (23, 3), (29, 1), (38, 4)], 6: [(7, 15), (8, 9), (11, 1), (13, 1)], 7: [(6, 1), (24, 1), (29, 1), (33, 1), (35, 1), (36, 7)]}","{1: 32, 2: 18, 3: 29, 4: 15, 5: 30, 6: 26, 7: 12}"
motorcycle,"{1: [(1, 5), (2, 3)], 5: [(7, 1)], 7: [(4, 1), (10, 1)]}","{1: 8, 5: 1, 7: 2}"
ship,"{4: [(15, 2), (16, 1), (18, 1), (19, 1), (20, 1), (21, 1), (23, 1), (24, 2), (28, 2), (29, 1), (31, 1), (35, 2), (37, 1)], 6: [(6, 1)]}","{4: 17, 6: 1}"
goblins,"{1: [(5, 7), (8, 1)], 4: [(9, 1), (24, 14), (37, 4)], 5: [(5, 2), (7, 1), (9, 1), (10, 2), (18, 1), (31, 1), (34, 1), (36, 1)], 6: [(6, 1)], 7: [(15, 9), (23, 2), (24, 10), (25, 14), (26, 19), (27, 2)]}","{1: 8, 4: 19, 5: 10, 6: 1, 7: 56}"
monsters,"{2: [(11, 1), (13, 1), (14, 1), (15, 2), (16, 1)], 3: [(1, 1), (4, 2), (6, 1), (11, 1)], 4: [(20, 1), (24, 1), (26, 2), (31, 1)], 5: [(30, 1)], 6: [(26, 1)], 7: [(6, 1), (31, 2), (32, 1)]}","{2: 6, 3: 5, 4: 5, 5: 1, 6: 1, 7: 4}"
